Customer,Date Shipped,Product ID,Brand,Channel
8711264,1/3/18,677,White Whale,Partner
8711416,1/3/18,677,White Whale,Direct
8711424,1/3/18,494,Black Dog,Direct
8712968,1/3/18,677,White Whale,Direct
8714688,1/3/18,677,White Whale,Direct
8711264,1/26/18,377,White Whale,Partner
8711416,1/27/18,377,White Whale,Direct
8711424,1/27/18,323,Black Dog,Direct
8712968,2/3/18,1313,White Whale,Direct
8711264,2/9/18,548,White Whale,Partner
8714688,2/17/18,581,White Whale,Direct
8712968,3/3/18,377,White Whale,Direct
8711264,3/10/18,17,White Whale,Partner
8714688,3/21/18,548,White Whale,Direct
8711264,4/11/18,581,White Whale,Partner
8714688,4/18/18,17,White Whale,Direct
8711256,1/4/18,677,White Whale,Direct
8712024,1/4/18,548,White Whale,Direct
8712168,1/4/18,677,White Whale,Direct
8712344,1/4/18,677,White Whale,Direct
8712368,1/4/18,677,White Whale,Direct
8712824,1/4/18,494,Black Dog,Direct
8712856,1/4/18,677,White Whale,Direct
8712896,1/4/18,677,White Whale,Direct
8713120,1/4/18,677,White Whale,Direct
8713784,1/4/18,677,White Whale,Direct
8714776,1/4/18,548,White Whale,Direct
8715256,1/4/18,677,White Whale,Direct
8715408,1/4/18,968,White Whale,Direct
8712824,1/23/18,323,Black Dog,Direct
8711256,1/24/18,377,White Whale,Direct
8712824,2/10/18,284,Black Dog,Direct
8712368,2/13/18,1313,White Whale,Direct
8711256,2/23/18,548,White Whale,Direct
8712344,2/23/18,581,White Whale,Direct
8713120,2/23/18,581,White Whale,Direct
8715408,2/23/18,968,White Whale,Direct
8712168,2/24/18,581,White Whale,Direct
8713784,3/1/18,581,White Whale,Direct
8715256,3/1/18,581,White Whale,Direct
8712824,3/9/18,1073,Black Dog,Direct
8712368,3/10/18,377,White Whale,Direct
8712344,3/17/18,548,White Whale,Direct
8713120,3/17/18,548,White Whale,Direct
8715408,3/17/18,677,White Whale,Direct
8712168,3/24/18,548,White Whale,Direct
8713784,3/30/18,548,White Whale,Direct
8715256,3/31/18,1388,White Whale,Direct
8712368,4/11/18,581,White Whale,Direct
8712824,4/11/18,458,Black Dog,Direct
8715408,4/21/18,968,White Whale,Direct
8712344,4/24/18,17,White Whale,Direct
8713120,4/24/18,17,White Whale,Direct
8712168,4/27/18,17,White Whale,Direct
8713784,4/28/18,17,White Whale,Direct
8712184,1/5/18,677,White Whale,Direct
8713184,1/5/18,968,White Whale,Direct
8715304,1/5/18,677,White Whale,Direct
8715512,1/5/18,677,White Whale,Direct
8716360,1/5/18,494,Black Dog,Direct
8716880,1/5/18,677,White Whale,Direct
8716952,1/5/18,677,White Whale,Direct
8717112,1/5/18,677,White Whale,Direct
8717168,1/5/18,494,Black Dog,Direct
8717728,1/5/18,677,White Whale,Direct
8717824,1/5/18,548,White Whale,Direct
8717880,1/5/18,494,Black Dog,Direct
8717928,1/5/18,677,White Whale,Partner
8717984,1/5/18,494,Black Dog,Direct
8718400,1/5/18,677,White Whale,Direct
8718528,1/5/18,677,White Whale,Direct
8718640,1/5/18,677,White Whale,Direct
8718656,1/5/18,677,White Whale,Direct
8718736,1/5/18,494,Black Dog,Direct
8719272,1/5/18,548,White Whale,Direct
8719304,1/5/18,494,Black Dog,Direct
8719496,1/5/18,677,White Whale,Direct
8719520,1/5/18,677,White Whale,Direct
8719536,1/5/18,677,White Whale,Direct
9810054,1/5/18,494,Black Dog,Partner
9810315,1/5/18,494,Black Dog,Direct
9810333,1/5/18,677,White Whale,Direct
9810378,1/5/18,677,White Whale,Direct
9810387,1/5/18,677,White Whale,Direct
9810999,1/5/18,677,White Whale,Direct
9811080,1/5/18,677,White Whale,Direct
9811107,1/5/18,494,Black Dog,Direct
9811980,1/5/18,677,White Whale,Direct
9812718,1/5/18,677,White Whale,Direct
9812763,1/5/18,677,White Whale,Partner
9813105,1/5/18,494,Black Dog,Direct
9813762,1/5/18,677,White Whale,Direct
9813996,1/5/18,494,Black Dog,Direct
9814536,1/5/18,677,White Whale,Direct
9814680,1/5/18,494,Black Dog,Direct
9814761,1/5/18,677,White Whale,Direct
9815472,1/5/18,677,White Whale,Direct
9815517,1/5/18,677,White Whale,Direct
9815589,1/5/18,494,Black Dog,Direct
9816327,1/5/18,677,White Whale,Partner
9816354,1/5/18,677,White Whale,Direct
8717928,2/3/18,1313,White Whale,Partner
8717928,2/8/18,677,White Whale,Partner
8718656,2/8/18,1313,White Whale,Direct
9814536,2/8/18,1313,White Whale,Direct
8718528,2/9/18,1313,White Whale,Direct
9811980,2/9/18,1313,White Whale,Direct
8715512,2/13/18,1313,White Whale,Direct
9814680,2/14/18,284,Black Dog,Direct
8717880,2/15/18,239,Black Dog,Direct
9811107,2/15/18,239,Black Dog,Direct
9812763,2/15/18,1313,White Whale,Partner
9813105,2/15/18,239,Black Dog,Direct
9816327,2/15/18,1313,White Whale,Partner
8716880,2/16/18,1313,White Whale,Direct
8718400,2/16/18,1313,White Whale,Direct
8718640,2/16/18,1313,White Whale,Direct
9814761,2/16/18,1313,White Whale,Direct
9810378,2/17/18,581,White Whale,Direct
9810387,2/17/18,581,White Whale,Direct
8719272,2/21/18,581,White Whale,Direct
8713184,2/22/18,1313,White Whale,Direct
8715304,2/23/18,581,White Whale,Direct
8716952,2/23/18,581,White Whale,Direct
8719536,2/23/18,581,White Whale,Direct
9815517,2/23/18,581,White Whale,Direct
8712184,2/24/18,581,White Whale,Direct
8717984,2/24/18,239,Black Dog,Direct
8718736,2/27/18,239,Black Dog,Direct
8719496,3/1/18,581,White Whale,Direct
8719520,3/1/18,581,White Whale,Direct
